DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112010                       - BANCO BRADESCO;SALDO ANTERIOR:            3.426,73 D;;;;;;;;
;;;;;;;;;
10/02/21;1,1E+15;TAR PACOTE MENSAL BASICO II;52111003;1;;;;0;20,06586826
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112011                       - BANCO ITAU  AG. 8499 CC. 247909;SALDO ANTERIOR:           50.319,26 D;;;;;;;;
;;;;;;;;;
05/02/21;1,1E+15;#NAME?;21115006;1;;;;0;1,796407186
05/02/21;1,1E+15;SINDICATO DOS EMPREGADOS EM EMP TAXA NE;21115007;1;;;;0;3973,440719
05/02/21;;GOCIAL 01/2021;;;;;;;
;;;;;;;;;
08/02/21;1,1E+15;PGTO. BOL 000279061 - JOHN RICHARD LOCAC;;1;;;;0;45,42275449
08/02/21;;AO DE MOVEIS LTDA.;;;;;;;
08/02/21;1,1E+15;PGTO. BOL 000279075 - JOHN RICHARD LOCAC;;1;;;;0;17,11137725
08/02/21;;AO DE MOVEIS LTDA.;;;;;;;
08/02/21;1,1E+15;PGTO. BOL 000279083 - JOHN RICHARD LOCAC;;1;;;;0;39,26227545
08/02/21;;AO DE MOVEIS LTDA.;;;;;;;
08/02/21;1,1E+15;PGTO. BOL 000279091 - JOHN RICHARD LOCAC;;1;;;;0;27,51976048
08/02/21;;AO DE MOVEIS LTDA.;;;;;;;
08/02/21;1,1E+15;PGTO. BOL 000279093 - JOHN RICHARD LOCAC;;1;;;;0;9,494610778
08/02/21;;AO DE MOVEIS LTDA.;;;;;;;
08/02/21;1,1E+15;PGTO. NF  000020216 - NAP IT SOLUCOES EM;;1;;;;0;4720,598802
08/02/21;; TECNOLOGIA LTDA;;;;;;;
08/02/21;1,1E+15;PGTO. NF  000046913 - SODEXO PASS DO BRA;;1;;;;0;110,4407186
08/02/21;;SIL SERV E COM;;;;;;;
08/02/21;1,1E+15;PGTO. NF  000046915 - SODEXO PASS DO BRA;;1;;;;0;441,760479
08/02/21;;SIL SERV E COM;;;;;;;
08/02/21;1,1E+15;PGTO. BOL 000276583 - DELOITTE TOUCHE TO;;1;;;;0;1634,640719
DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
08/02/21;;HMATSU CONSULTORES LTD;;;;;;;
08/02/21;1,1E+15;PGTO. BOL 000279073 - JOHN RICHARD LOCAC;;1;;;;0;9,494610778
08/02/21;;AO DE MOVEIS LTDA.;;;;;;;
08/02/21;1,1E+15;PGTO. BOL 40300992  - AMERICA NET LTDA;;1;;;;0;742,1149701
